Features,Label
"[-3.25791870e+02  1.20350716e+02 -3.30505204e+00  8.02082443e+00
 -7.08186626e+00 -1.17105694e+01 -2.98030138e+00  9.14212036e+00
 -9.94750404e+00  4.66122955e-01  6.44622803e+00  3.90177035e+00
  2.31833172e+00  5.28619812e-02  8.88874652e+00  4.81977170e-03
  2.86136008e-02  2.48707910e+03  3.08916729e+03  6.36969031e+03
  9.30152717e-04  1.14333756e-01]",1
"[-5.81740051e+02  8.20662308e+00 -6.65886688e+00 -4.29141283e+00
 -3.03464246e+00  2.59199113e-01 -1.96439886e+00 -2.71645188e-01
  5.18168271e-01  3.41995955e-01  9.05891001e-01 -9.25949588e-03
 -1.90380394e-01  1.30805205e-02  6.04260160e-01  8.64309715e-04
  7.09572689e-03  3.49701506e+02  3.05154270e+02  6.98767372e+02
  9.21822131e-01  7.06648780e-03]",0
"[-3.41089355e+02  6.59446182e+01 -8.21097946e+01  3.08082314e+01
 -6.67191029e+00  9.11152935e+00 -1.67265472e+01  1.65093899e+01
  5.98003244e+00  4.13027573e+00  6.13915014e+00 -1.19842472e+01
  4.21879101e+00  1.07086323e-01  2.02953240e+00  1.47970927e-03
  5.79559838e-02  3.54997373e+03  2.79294121e+03  7.64350740e+03
  1.80880103e-04  5.30202463e-02]",1
"[-5.86658875e+02  1.19011736e+01 -9.88042831e-01 -1.79214847e+00
 -2.17626429e+00  9.71365809e-01  2.91159034e-01 -3.62241656e-01
 -3.89924765e-01  3.13253969e-01  9.49549153e-02  4.80144680e-01
  7.54784405e-01  3.59025905e-03  4.19936513e-01  4.41103055e-04
  1.93214268e-03  1.87661035e+02  2.94353273e+02  4.16314124e+02
  8.84565711e-01  6.11353246e-03]",0
"[-2.53313339e+02  1.26198982e+02 -5.81084595e+01  6.01743078e+00
 -1.07399559e+01 -7.96135378e+00 -4.77222490e+00  2.31538467e+01
  3.62702274e+00  5.88164425e+00 -3.26577973e+00 -3.21595001e+00
  5.89259720e+00  6.19116549e-02  2.56703433e+00  2.78303459e-03
  3.35175240e-02  2.69512355e+03  2.87310497e+03  6.27462277e+03
  1.16133771e-04  6.24765009e-02]",1
"[-2.53816132e+02  1.94562973e+02 -3.18444538e+01 -5.53388643e+00
  3.70333004e+00 -3.61695671e+00 -1.39203978e+01 -1.87804585e+01
 -5.86425877e+00 -3.48558831e+00  5.33324337e+00  1.23986006e+01
  4.59377003e+00  3.34604319e-02  9.30852335e+00  1.01791991e-02
  1.81161802e-02  1.22833074e+03  1.57882187e+03  2.47243641e+03
  7.92907849e-06  1.43023923e-01]",0
"[-2.98131622e+02  4.81501045e+01 -8.67776413e+01  1.86530056e+01
 -2.18085117e+01 -8.02844286e-01 -2.35032215e+01  2.65474930e+01
  4.30018377e+00 -2.98136783e+00 -2.02708507e+00 -1.02741833e+01
  3.49259233e+00  1.05101599e-01  2.99842472e+00  2.18569144e-03
  5.68784559e-02  3.72731247e+03  3.00350571e+03  8.29935767e+03
  8.59958382e-05  7.02447370e-02]",1
"[-2.89164154e+02  1.49051727e+02 -4.41359758e+00 -1.16830568e+01
 -3.87347436e+00 -8.49266529e+00 -1.62058830e+01 -1.62988491e+01
 -1.47780142e+01 -9.85139370e+00 -2.10970926e+00  6.39939928e+00
  8.63593006e+00  4.13165688e-02  5.58748058e+00  2.72084973e-03
  2.23590732e-02  1.93453690e+03  2.91609563e+03  4.58771694e+03
  8.74261605e-05  8.29235166e-02]",0
"[-3.82908295e+02  1.04474602e+02 -2.13826904e+01  1.94390678e+01
 -1.39244852e+01  2.26434555e+01 -2.04718828e+00  4.93867540e+00
  3.19029093e+00  7.65921259e+00  2.33035374e+00  4.17459235e-02
 -2.09902573e+00  8.72345676e-02  1.45910724e+00  7.12254226e-04
  4.71998236e-02  3.51691274e+03  3.59336681e+03  8.89726073e+03
  7.39786832e-04  3.22648287e-02]",1
"[-1.58308533e+02  2.01413940e+02 -6.12400017e+01  1.72659168e+01
 -2.31012106e+00  1.47791824e+01 -4.32232237e+00  4.36464024e+00
  1.23248674e-01  4.14546442e+00  1.04671896e+00 -6.02242374e+00
 -6.19430065e+00  5.07421273e-02  1.29619345e+01  8.61010289e-03
  2.74609737e-02  1.66857270e+03  1.89268576e+03  3.58292261e+03
  1.42042481e-04  1.85431510e-01]",0
"[-3.61261780e+02  5.06567154e+01 -8.38613281e+01  1.32540083e+01
 -2.76236038e+01 -2.44485264e+01 -6.02453899e+00  6.21111822e+00
 -1.13960304e+01  2.53588462e+00 -9.86004734e+00 -2.27390981e+00
 -1.17124023e+01  1.60659555e-01  2.37688415e+00  1.12412619e-03
  8.69406713e-02  4.02152931e+03  3.16909555e+03  8.41207831e+03
  1.40514364e-03  5.44401184e-02]",1
"[-1.12551682e+02  1.67105682e+02 -6.72662811e+01  1.15960512e+01
 -1.51966820e+01  3.69425797e+00 -1.42775135e+01  1.64781628e+01
 -9.67461586e+00  1.35925746e+00 -1.07397575e+01  4.36887169e+00
  9.96415496e-01  6.89642720e-02  1.71486859e+01  1.00611101e-02
  3.73326559e-02  2.23480803e+03  2.43828745e+03  4.66605268e+03
  6.36351251e-05  2.10291252e-01]",0
"[-3.32708466e+02  3.23657722e+01 -1.12747200e+02  1.42095985e+01
 -2.42476845e+01 -2.60687408e+01 -2.80328155e+00 -2.75628233e+00
 -6.06881809e+00  2.15881157e+00 -1.01751728e+01 -4.30867481e+00
 -1.70845299e+01  1.33306048e-01  1.88275998e+00  1.22247880e-03
  7.21352006e-02  3.88007857e+03  2.62927268e+03  7.21889852e+03
  5.68699383e-04  5.28315827e-02]",1
"[-4.19655090e+02  1.58623489e+02 -5.42016077e+00 -2.64092088e+00
  1.06632986e+01  1.34545317e+01  9.92070484e+00  7.76643324e+00
  7.86352491e+00  6.60151815e+00  7.09733772e+00  9.02008057e+00
  8.82192898e+00  2.62016684e-02  4.68336964e-01  6.32862199e-04
  1.41795773e-02  1.40036007e+03  2.13971416e+03  3.45223033e+03
  5.42537382e-05  1.95626002e-02]",0
"[-2.31382004e+02  7.56430740e+01 -8.95622635e+01  1.14717360e+01
 -2.33401508e+01  1.24906979e+01 -3.28756828e+01 -1.24585505e+01
  6.19608641e-01  1.36712179e+01  1.67705202e+00 -7.98292398e+00
  1.29636550e+00  1.08947375e-01  1.24052306e+01  1.29238954e-02
  5.89570540e-02  3.63911351e+03  3.01342547e+03  8.14194150e+03
  9.42576560e-04  1.38675019e-01]",1
"[-3.99745392e+02  9.83937302e+01  1.28320513e+01 -7.13385916e+00
 -1.86969643e+01 -1.77636013e+01 -2.03462181e+01 -1.37126637e+01
 -6.39231873e+00 -1.35895128e+01 -9.66915131e+00  3.47618192e-01
  7.01658309e-01  4.25730090e-02  2.76007379e+00  4.38565609e-03
  2.30398503e-02  1.72430361e+03  2.36025215e+03  3.91104682e+03
  5.24699397e-04  4.37191315e-02]",0
"[-2.17475204e+02  6.17211761e+01 -1.01833199e+02  7.24556351e+00
 -1.85364075e+01  1.87091408e+01 -1.87607861e+01 -5.79726362e+00
 -2.65769219e+00  1.76802368e+01  4.48763037e+00 -1.10896988e+01
 -3.45563084e-01  1.08592546e-01  2.20452110e+01  2.50520771e-02
  5.87642754e-02  3.54177606e+03  2.81669843e+03  7.63780061e+03
  2.84878351e-03  1.86894655e-01]",1
"[-3.57286194e+02  7.49068527e+01  6.20167208e+00 -5.24447155e+00
  9.16478634e-01  1.21416922e+01  1.22643340e+00 -5.24281788e+00
 -5.11209488e+00 -5.41417885e+00 -5.64485741e+00 -3.08196092e+00
  4.15329695e+00  7.72673103e-02  6.15155648e+00  6.35621470e-03
  4.18133303e-02  2.77920378e+03  3.44704119e+03  7.59252779e+03
  5.14024461e-04  4.55032885e-02]",0
"[-3.58394470e+02  7.36816940e+01 -4.35383911e+01 -5.36585617e+00
 -3.85421181e+01  9.32652950e+00 -1.23317137e+01  1.63968296e+01
  1.49358523e+00  2.55477810e+00  3.39011145e+00 -3.03670907e+00
 -2.09618568e+00  7.35265794e-02  1.42539024e+00  7.49690332e-04
  3.98058815e-02  3.52858612e+03  3.53025614e+03  9.25529586e+03
  3.89771648e-02  4.39606905e-02]",1
"[-2.75926727e+02  1.32018921e+02 -3.56720810e+01  1.56189690e+01
 -1.12579393e+01  3.12385845e+00 -1.49437399e+01  4.29741335e+00
  8.99974918e+00  1.12372131e+01 -3.95204210e+00  1.55119836e+00
 -1.12636246e-01  7.27325135e-02  3.35427881e+00  1.31782429e-03
  3.93463916e-02  2.60434903e+03  2.97571111e+03  6.44860677e+03
  3.23138374e-04  6.83340505e-02]",0
"[-4.38035370e+02  4.26573563e+01 -3.32435265e+01  7.73518276e+00
 -4.44266415e+00 -1.26771317e+01 -4.54919815e+00  4.03411746e-01
 -8.81771851e+00  8.00542927e+00  7.69072247e+00 -1.05870008e+01
  1.68086600e+00  4.34668119e-02  2.39192887e+00  2.06636666e-03
  2.35299986e-02  1.65487928e+03  1.70476341e+03  3.74238112e+03
  2.56288469e-01  4.62244041e-02]",1
"[-2.89400696e+02  1.43422958e+02 -3.39160194e+01  1.60948257e+01
 -1.72552528e+01  2.94051552e+00 -1.69518871e+01  9.19972038e+00
  6.69113827e+00  1.54252148e+01 -6.98681355e+00  4.44653845e+00
 -2.29874820e-01  6.66917067e-02  1.15842950e+00  6.27963503e-04
  3.60867196e-02  2.43258567e+03  2.99300565e+03  6.09263762e+03
  1.93250293e-04  5.17669916e-02]",0
"[-3.40725861e+02  9.65753937e+01 -4.34992523e+01  1.87103977e+01
  7.55002546e+00 -2.47842522e+01 -7.60201931e-01 -1.28328943e+01
 -1.41177540e+01  1.98899784e+01  1.65161648e+01  3.10372710e+00
 -5.65191209e-01  5.28998941e-02  4.55357420e+00  3.27452874e-03
  2.86254777e-02  2.24156662e+03  2.35184077e+03  5.23520609e+03
  1.75469671e-04  7.90594667e-02]",1
"[-1.81911163e+02  2.11124893e+02 -8.15802002e+01 -5.36319399e+00
 -1.79353213e+00 -1.68950653e+01 -1.16215773e+01 -5.84656000e+00
 -1.08835592e+01 -5.63142681e+00 -5.82567358e+00 -6.77225399e+00
 -1.66293252e+00  6.10675077e-02  6.82486408e+00  4.35112585e-03
  3.30376018e-02  1.74360462e+03  1.57559434e+03  3.48142790e+03
  9.52053142e-06  1.33276924e-01]",0
"[-2.54835434e+02  8.38145447e+01 -5.04548187e+01  3.13218327e+01
 -3.85249290e+01  8.95921993e+00 -1.41867933e+01 -1.52474537e+01
  1.50659227e+01 -5.30742444e-02  5.50314379e+00  2.92991638e+00
 -1.62957299e+00  1.64501878e-01  3.52522254e+00  3.08905893e-03
  8.90103761e-02  4.71736912e+03  3.52969731e+03  9.36485308e+03
  7.88087666e-04  6.56303689e-02]",1
